location,neighborhoods,population,table_date
"Detroit, Michigan",Weatherby,"1,865",2023-11-23
"Detroit, Michigan",Van Steuban,"7,066",2023-11-23
"Detroit, Michigan",Old Redford,835,2023-11-23
"Detroit, Michigan",Mohican Regent,"2,849",2023-11-23
"El Paso, Texas",San Juan,"2,506",2023-11-23
"El Paso, Texas",Castner Heights,"3,489",2023-11-23
"El Paso, Texas",Chamizal,"1,649",2023-11-23
"El Paso, Texas",Five Points,"10,952",2023-11-23
"El Paso, Texas",Central,"44,993",2023-11-23
"El Paso, Texas",Ysleta Mission Valley,"9,276",2023-11-23
"El Paso, Texas",Sunset Heights,"3,192",2023-11-23
"El Paso, Texas",Northeast,"90,056",2023-11-23
"El Paso, Texas",Chihuahuita,318,2023-11-23
"El Paso, Texas",Friends of Karl Wyler,"1,392",2023-11-23
"El Paso, Texas",Golden Hills,"3,254",2023-11-23
"El Paso, Texas",Redd-Mulberry,308,2023-11-23
"El Paso, Texas",East Side,"140,171",2023-11-23
"El Paso, Texas",Lakeside,"1,660",2023-11-23
"El Paso, Texas",Zach White,"4,516",2023-11-23
"El Paso, Texas",Via Hermosa,89,2023-11-23
"El Paso, Texas",Mountain Arroyos,"2,879",2023-11-23
"El Paso, Texas",Montoya Heights,893,2023-11-23
"El Paso, Texas",Rim Area,"1,115",2023-11-23
"El Paso, Texas",Borderland,"1,200",2023-11-23
"El Paso, Texas",Carpenter,332,2023-11-23
"El Paso, Texas",Manhattan Heights,"1,932",2023-11-23
"El Paso, Texas",South Mesa,"1,638",2023-11-23
"El Paso, Texas",Album Park,"13,762",2023-11-23
"El Paso, Texas",A Presidential Neighborhood,914,2023-11-23
"El Paso, Texas",Cielo Vista,"20,434",2023-11-23
"El Paso, Texas",Little Bit of Country,44,2023-11-23
"El Paso, Texas",Buena Vista,63,2023-11-23
"El Paso, Texas",La Colonia Escondida,313,2023-11-23
"El Paso, Texas",Willow Bend One,87,2023-11-23
"Fort Worth, Texas",Colonial Hills,985,2023-11-23
"Fort Worth, Texas",Tanglewood,"1,479",2023-11-23
"Fort Worth, Texas",Marine Park,322,2023-11-23
"Fort Worth, Texas",Park Palisades,164,2023-11-23
"Fort Worth, Texas",Stone Meadow,"1,491",2023-11-23
"Fort Worth, Texas",Lost Creek,"1,024",2023-11-23
"Fort Worth, Texas",Parkview Hills,"3,520",2023-11-23
"Fort Worth, Texas",Altemesa East,495,2023-11-23
"Fort Worth, Texas",Carter Park,"2,219",2023-11-23
"Fort Worth, Texas",Brittany Place,258,2023-11-23
"Fort Worth, Texas",Southgate,"1,902",2023-11-23
"Fort Worth, Texas",Cheyenne Ridge,423,2023-11-23
"Fort Worth, Texas",Park Glen,"11,305",2023-11-23
"Fort Worth, Texas",Bellaire Park North,674,2023-11-23
"Fort Worth, Texas",Hollow Hills,"2,099",2023-11-23
"Fort Worth, Texas",Ramey Place,211,2023-11-23
"Fort Worth, Texas",White Lake Hills,"1,201",2023-11-23
"Fort Worth, Texas",Marine Creek,"1,949",2023-11-23
"Fort Worth, Texas",Caville,817,2023-11-23
"Fort Worth, Texas",Bently Village,699,2023-11-23
"Fort Worth, Texas",Greenway,406,2023-11-23
"Fort Worth, Texas",Historic Southside,"2,047",2023-11-23
"Fort Worth, Texas",Upper West Side,836,2023-11-23
"Fort Worth, Texas",East Lake Worth,86,2023-11-23
"Fort Worth, Texas",South Meadows Crossing,"2,392",2023-11-23
"Fort Worth, Texas",Fairway Bend,"4,557",2023-11-23
"Fort Worth, Texas",South Edgewood,810,2023-11-23
"Fort Worth, Texas",Candle Ridge West,"1,962",2023-11-23
"Fresno, California",Mclane,"51,479",2023-11-23
"Fresno, California",Roosevelt,"131,343",2023-11-23
"Fresno, California",Hoover,"52,097",2023-11-23
"Fresno, California",Woodward Park,"56,321",2023-11-23
"Fresno, California",Central,"14,193",2023-11-23
"Fresno, California",West,"43,292",2023-11-23
"Fresno, California",Bullard,"99,229",2023-11-23
"Fresno, California",Edison,"27,311",2023-11-23
"Fresno, California",Fresno High Roeding,"57,068",2023-11-23
"Houston, Texas",Alief,"102,235",2023-11-23
"Houston, Texas",Fondren Gardens,"2,896",2023-11-23
"Houston, Texas",Iah - Airport Area,"10,515",2023-11-23
"Houston, Texas",Meadowbrook - Allendale,"23,115",2023-11-23
"Houston, Texas",Greater Hobby Area,"22,317",2023-11-23
"Houston, Texas",Greater Uptown,"49,277",2023-11-23
"Houston, Texas",Eldridge - West Oaks,"56,239",2023-11-23
"Houston, Texas",Denver Harbor - Port Houston,"17,164",2023-11-23
"Houston, Texas",Lawndale - Wayside,"12,648",2023-11-23
"Houston, Texas",Astrodome Area,"17,697",2023-11-23
"Houston, Texas",Northside Village,"26,831",2023-11-23
"Houston, Texas",Greater Fondren Southwest,"58,703",2023-11-23
"Houston, Texas",Golfcrest - Bellfort - Reveille,"49,757",2023-11-23
"Houston, Texas",Neartown - Montrose,"28,957",2023-11-23
"Houston, Texas",Kashmere Gardens,"9,527",2023-11-23
