Date	State	Category	Dollars
2022-10-16	Illinois	Alcohol	"$43,353,219"
2022-10-23	Illinois	Alcohol	"$44,458,545"
2022-10-30	Illinois	Alcohol	"$46,717,142"
2022-11-06	Illinois	Alcohol	"$43,751,485"
2022-11-13	Illinois	Alcohol	"$44,112,342"
2022-11-20	Illinois	Alcohol	"$47,648,822"
2022-11-27	Illinois	Alcohol	"$56,611,615"
2022-12-04	Illinois	Alcohol	"$40,716,218"
2022-12-11	Illinois	Alcohol	"$44,920,500"
2022-12-18	Illinois	Alcohol	"$50,787,994"
2022-12-25	Illinois	Alcohol	"$66,957,110"
2022-01-02	Indiana	Alcohol	"$20,401,782"
2022-01-09	Indiana	Alcohol	"$12,609,065"
2022-01-16	Indiana	Alcohol	"$14,282,868"
2022-01-23	Indiana	Alcohol	"$14,609,211"
2022-01-30	Indiana	Alcohol	"$14,646,988"
2022-02-06	Indiana	Alcohol	"$17,425,996"
2022-02-13	Indiana	Alcohol	"$16,703,575"
2022-02-20	Indiana	Alcohol	"$15,930,638"
2022-02-27	Indiana	Alcohol	"$14,931,759"
2022-03-06	Indiana	Alcohol	"$15,209,162"
2022-03-13	Indiana	Alcohol	"$15,250,564"
2022-03-20	Indiana	Alcohol	"$15,611,723"
2022-03-27	Indiana	Alcohol	"$15,294,340"
2022-04-03	Indiana	Alcohol	"$15,188,658"
2022-04-10	Indiana	Alcohol	"$15,282,486"
2022-04-17	Indiana	Alcohol	"$18,791,426"
2022-04-24	Indiana	Alcohol	"$15,975,032"
2022-05-01	Indiana	Alcohol	"$16,023,328"
2022-05-08	Indiana	Alcohol	"$17,958,427"
2022-05-15	Indiana	Alcohol	"$17,502,390"
2022-05-22	Indiana	Alcohol	"$17,163,762"
2022-05-29	Indiana	Alcohol	"$21,862,283"
2022-06-05	Indiana	Alcohol	"$19,246,266"
2022-06-12	Indiana	Alcohol	"$17,381,538"
2022-06-19	Indiana	Alcohol	"$19,098,157"
2022-06-26	Indiana	Alcohol	"$18,690,245"
2022-07-03	Indiana	Alcohol	"$23,880,591"
2022-07-10	Indiana	Alcohol	"$19,526,115"
2022-07-17	Indiana	Alcohol	"$17,236,889"
2022-07-24	Indiana	Alcohol	"$17,357,317"
2022-07-31	Indiana	Alcohol	"$17,278,282"
2022-08-07	Indiana	Alcohol	"$17,202,318"
2022-08-14	Indiana	Alcohol	"$16,983,910"
2022-08-21	Indiana	Alcohol	"$17,303,278"
2022-08-28	Indiana	Alcohol	"$17,070,208"
2022-09-04	Indiana	Alcohol	"$19,327,872"
2022-09-11	Indiana	Alcohol	"$17,224,458"
2022-09-18	Indiana	Alcohol	"$16,570,137"
2022-09-25	Indiana	Alcohol	"$16,465,471"
2022-10-02	Indiana	Alcohol	"$16,026,780"
2022-10-09	Indiana	Alcohol	"$16,148,454"
2022-10-16	Indiana	Alcohol	"$16,187,103"
2022-10-23	Indiana	Alcohol	"$15,986,531"
2022-10-30	Indiana	Alcohol	"$17,555,902"
2022-11-06	Indiana	Alcohol	"$16,237,321"
2022-11-13	Indiana	Alcohol	"$16,192,372"
2022-11-20	Indiana	Alcohol	"$17,835,762"
2022-11-27	Indiana	Alcohol	"$22,806,780"
2022-12-04	Indiana	Alcohol	"$15,682,567"
2022-12-11	Indiana	Alcohol	"$17,057,983"
2022-12-18	Indiana	Alcohol	"$20,684,503"
