GEO_ID	NAME	DP05_0088E
Geography	Geographic Area Name	Estimate!!Total housing units
1600000US2511000	"Cambridge city, Massachusetts"	56934
1600000US2523000	"Fall River city, Massachusetts"	44303
1600000US2524960	"Framingham city, Massachusetts"	29348
1600000US2529405	"Haverhill city, Massachusetts"	27232
1600000US2534550	"Lawrence city, Massachusetts"	30711
1600000US2537000	"Lowell city, Massachusetts"	42944
1600000US2537490	"Lynn city, Massachusetts"	38202
1600000US2537875	"Malden city, Massachusetts"	28903
1600000US2539835	"Medford city, Massachusetts"	28632
1600000US2545000	"New Bedford city, Massachusetts"	46956
1600000US2545560	"Newton city, Massachusetts"	34575
1600000US2555745	"Quincy city, Massachusetts"	51156
1600000US2562535	"Somerville city, Massachusetts"	37836
1600000US2567000	"Springfield city, Massachusetts"	64878
1600000US2582000	"Worcester city, Massachusetts"	85298
1600000US2603000	"Ann Arbor city, Michigan"	53113
1600000US2621000	"Dearborn city, Michigan"	40015
1600000US2622000	"Detroit city, Michigan"	311291
1600000US2627440	"Farmington Hills city, Michigan"	37241
1600000US2629000	"Flint city, Michigan"	43436
1600000US2634000	"Grand Rapids city, Michigan"	88725
1600000US2642160	"Kalamazoo city, Michigan"	32996
1600000US2646000	"Lansing city, Michigan"	55954
1600000US2649000	"Livonia city, Michigan"	40431
1600000US2659440	"Novi city, Michigan"	29611
1600000US2669035	"Rochester Hills city, Michigan"	30972
1600000US2674900	"Southfield city, Michigan"	39550
1600000US2676460	"Sterling Heights city, Michigan"	51797
1600000US2680700	"Troy city, Michigan"	34373
1600000US2684000	"Warren city, Michigan"	60419
1600000US2686000	"Westland city, Michigan"	39924
1600000US2688940	"Wyoming city, Michigan"	29580
1600000US2706382	"Blaine city, Minnesota"	27364
1600000US2706616	"Bloomington city, Minnesota"	40882
1600000US2707966	"Brooklyn Park city, Minnesota"	32121
1600000US2717000	"Duluth city, Minnesota"	41048
1600000US2717288	"Eagan city, Minnesota"	28741
1600000US2735180	"Lakeville city, Minnesota"	27263
1600000US2740166	"Maple Grove city, Minnesota"	27771
1600000US2743000	"Minneapolis city, Minnesota"	210510
1600000US2751730	"Plymouth city, Minnesota"	35503
1600000US2754880	"Rochester city, Minnesota"	54661
1600000US2756896	"St. Cloud city, Minnesota"	28756
1600000US2758000	"St. Paul city, Minnesota"	134988
1600000US2771428	"Woodbury city, Minnesota"	30571
1600000US2829700	"Gulfport city, Mississippi"	32769
